process,check,covered_by_G0,sensor,predicted_effect,predicted_below_0.90_on,known,reason
added ink: speck,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,A3,true,"The known failure. The ink sensor counts dark pixels, not characters: on the 415 x 38 px I-9 City field 0.345% is 54 px, a speck of about 1 mm at 200 dpi. A3: Stains, BadPhotoCopy and DirtyRollers specks on the emptied field read as filled. X2: the step 1 pencil dot (about 1 mm, pencil grey) is predicted too small and too light at level 128 to cross 0.345% on most captures."
added ink: speck,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,miss,none,true,"A speck inside the 6.6 px disc of an unticked box reads as a tick (published targeted run: 0.667 at 4% ink on the box), but a random speck lands in a 6.6 px disc on too few A3 pages to move pooled recall under 0.90. X2 has no mark near a box."
added ink: speck,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"A speck is one compact component whose diagonal is far below 342 px, so it cannot pass for a signature."
added ink: speck,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",miss,none,true,"A speck on a digit can add or break a character and the 8-digit rule then returns None (abstain, a miss); it has to land on a 165 x 36 px date, which is rare per page."
added ink: speck,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A speck is compact and local: it moves no global measure (registration peak, scale, coverage, orientation) and only matters where it lands on a watched zone. For this check, speck leaves the street name tokens readable on both pieces."
added ink: speck,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A speck is compact and local: it moves no global measure (registration peak, scale, coverage, orientation) and only matters where it lands on a watched zone. For this check, speck leaves 999-99-9999 readable above 0.7214."
added ink: speck,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A speck is compact and local: it moves no global measure (registration peak, scale, coverage, orientation) and only matters where it lands on a watched zone. For this check, speck does not bias the height-based scale estimate by 1%."
added ink: speck,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A speck is compact and local: it moves no global measure (registration peak, scale, coverage, orientation) and only matters where it lands on a watched zone. For this check, speck does not shrink the registered frame extent."
added ink: speck,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"G0 chose every threshold on parasite level 0; the parasite sub-grid and the targeted run (speck, stroke, fold shapes) only measured, never chose. A speck is compact and local: it moves no global measure (registration peak, scale, coverage, orientation) and only matters where it lands on a watched zone. For this check, speck does not change which quarter turn registers best."
added ink: stroke,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,miss,both,true,"The known failure. A3: Scribbles, NoisyLines, DirtyDrum streaks and Markup lines crossing the emptied field. X2: the step 2 pen stroke of about 5 mm is about 40 x 3 px, 0.8% of the I-9 City field, above 0.345%, so the emptied field reads filled."
added ink: stroke,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,miss,none,true,"A stroke through the 6.6 px disc reads as a tick, but strokes cross a 22 px box on too few pages to pull pooled recall under 0.90; X2 has no mark near a box."
added ink: stroke,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,miss,A3,true,"A line running inside the 898 x 36 px band (NoisyLines, DirtyDrum, Scribbles) is one added component with a diagonal above 342 px, so an unsigned I-9 reads as signed (published targeted run: 0.333 at 4% ink). Predicted frequent enough on A3 to pull recall under 0.90."
added ink: stroke,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",miss,A3,true,"A streak crossing the 165 x 36 px date adds a character OCR reads as 1 or l, or breaks a digit; the rule needs exactly 8 digits and otherwise abstains, which counts as a miss (published targeted run: 0.667 at 1%, 0.333 at 4%)."
