"episode_id","code_first","code_second","reason"
"dossier-preflight-01-ink-blind-spot","M0","","The ink probe with constructed ground truth measures recall 1.000 on n=151 retained ink, matching the self-reported recall of 1.0."
"dossier-preflight-02-targeted-parasite","M1","","Self-reported recall is 1.0 yet the targeted parasite probe shows fired 0, a condition the original test generator never produced."
"airlock-01-status-hides-brand-miss","M4","M1","The rights gate scores 100% (10 of 10) while the brand is named correctly only 40% of the time and the wrong company is named at high confidence, so the verdict is right on a wrong reason."
"fintech-roast-01-field-run","M1","M2","The self eval reports 53 of 53 precision while in the field 10 of 16 emitted findings were refuted, a failure mode the eval set did not contain (T-C, model verifier only)."
"fintech-roast-02-upstream-confirmation","M0","","A third party's merged PR 'Reported and analyzed in #16012' and the bug label confirm the finding the tool reported as unrefuted."
"trimwrit-01-dead-graders","M3","","The run reported 32 of 32 but 'The graders were dead', so the checker could not fail."
"trimwrit-02-contaminated-baseline","M5","","The no-rule arm scored 1.00 ('passes without the rule too') until a fix, after which it scores 0.00, so the comparison arm was not what it claimed."
"trimwrit-03-llm-judge-failure","M4","M3","The 'earns its place' delta of +0.33 comes from a grade that includes an LLM judge failing four runs of four, so the verdict rests on a broken grader rather than the rule (T-C)."
"blazonry-01-rejected-marks-pass-gate","M1","M2","59 tests pass while 13 of the 14 marks Dylan rejected pass the gate, so the tests never exercised the marks a human rejects."
"bankfile-01-reversed-credit","M1","","551 tests at 98% coverage did not catch a reversed credit that balance arithmetic found, so the suite never produced the condition that exposes it."
"bankfile-02-spec-found-field-bug","M1","","551 tests passed while the spec subfield table exposed a field bug across 59 transactions in 5 files, a condition the tests never generated."
"nameproof-01-six-wrong-answers","M1","M3","The suite grew 93 to 109 yet 'Unit tests caught none of them and could not have', a blind spot shared by the tests (T-C, author's own read)."
"nameproof-02-doctor-agrees","M0","","Checked against live real-world answers the tool had 12 agreed, 0 disagreed, 0 could not run."
"dsh-internals-01-existence-only-validator","M3","M2","The validator reported 270 valid and 0 invalid while the vocabulary itself was wrong (44 types, not 45), so an existence-only check could not fail."
