"episode_id","repo","pinned_sha","tier","who","self_generated_claim","independent_finding","note","code1","code2"
"dossier-preflight-01-ink-blind-spot","dossier-preflight","2235d50abf39d0b0e952fedd082672d7003f25b9","T-A","constructed ground truth (the probe knows where it put the ink)","""recall"": 1.0, (grid/results/resume.json:42)","| ink (RETAINED by the grid) | **1.000** | [0.975, 1.000] | 151 | (parasitic-ink-probe/FINDING.md:33)","The plan's draft table cited parasitic-ink-probe/results.jsonl for the n=151 figure; that file holds only the raw per-reading rows. The aggregated number is stated in FINDING.md. The '8 of 9' count is derived by counting the file's 9 top-level checks, not a literal phrase in resume.json.","",""
"dossier-preflight-02-targeted-parasite","dossier-preflight","2235d50abf39d0b0e952fedd082672d7003f25b9","T-A","constructed ground truth (the probe knows where it put the ink)","""recall"": 1.0, (grid/results/resume.json:42)","""fired"": 0, (grid/results/target_parasite.json:71)","","",""
"airlock-01-status-hides-brand-miss","airlock","84591f952564fe579586248ab64af8671b434145","T-B","hand labels, labeller not named in the repo","| rights | 16 | 10 | 0 | 6 | 0 | 100% (10 of 10) | 100% (10 of 10) | (eval/EVAL.md:41)","Brand named: 40% (4 of 10). (eval/EVAL.md:80) | Video Intelligence named the wrong company at high confidence (eval/EVAL.md:124)","Correction: the plan's draft table described the self-generated score as '100% precision and recall on 16 synthetic assets'. EVAL.md line 1 and the per-gate table (n=16) actually cover 10 real archival ads plus 6 synthetic assets together, not 16 synthetic ones.","",""
"fintech-roast-01-field-run","fintech-roast","a0da316c4245585e4203fe45a81b8118d65e2991","T-C","field verdicts: the tool's own model verifier (FIELD-REPORT-2.md:108, not human-verified)","Recall | 30 / 35 = **86%** (eval/RESULTS.md:14) | Precision (genuine defect) | 53 / 53 = **100%** (eval/RESULTS.md:16)","| findings emitted by auditors | 16 | (eval/FIELD-REPORT-2.md:20) | | refuted before reporting | 10 | (eval/FIELD-REPORT-2.md:23)","","",""
"fintech-roast-02-upstream-confirmation","fintech-roast","a0da316c4245585e4203fe45a81b8118d65e2991","T-A","third party (medusajs maintainers and an external contributor; verified live via gh api on 2026-09-25, not a file at a pinned sha)","The adversarial pass refuted nothing this run (0 of 53). (eval/RESULTS.md:44)","issue #16012 labelled type: bug, closed; PR #16097 (merged 2026-07-22T17:35:42Z) authored by a third party ('Meliceanu'), body reads 'Reported and analyzed in #16012' (external:github.com/medusajs/medusa)","This episode's independent_check entry is a live GitHub API fact (issue and PR metadata), not a file in the fintech-roast repository; verify.py skips 'external' entries rather than shallow-cloning medusajs/medusa.","",""
"trimwrit-01-dead-graders","trimwrit","423b42c0e3b1038ca44f9e039e8fc3a701cdc0fa","T-A","mechanical proof (a regex grader shown structurally unable to fire)","The second pass reported 32 of 32 (CHANGELOG.md:103)","The graders were dead. (CHANGELOG.md:104)","","",""
"trimwrit-02-contaminated-baseline","trimwrit","423b42c0e3b1038ca44f9e039e8fc3a701cdc0fa","T-A","mechanical proof (the runner's own before/after ablation, re-run after a fix)","0002-no-em-dash-anywhere               1.00      1.00   +0.00  INERT, passes without the rule too (README.md:130)","With the fix, the em-dash case scores 1.00 with the rule and 0.00 without it. (CHANGELOG.md:246)","","",""
"trimwrit-03-llm-judge-failure","trimwrit","423b42c0e3b1038ca44f9e039e8fc3a701cdc0fa","T-C","an LLM judge (the failing grader) versus a mechanical grader (the one that passed); the disagreement is between two automated graders, not a human","0005-decision-last-and-short           1.00      0.67   +0.33  earns its place (README.md:132)","an llm judge that failed four runs out of four (README.md:140)","","",""
"blazonry-01-rejected-marks-pass-gate","blazonry","8947c25afae31306f2212a8bdb2eab7da26f8e4f","T-B","Dylan, one reader","npm test              # 59 tests, no network (README.md:147)","13 of the 14 marks Dylan rejected out of hand (scripts/gate.mjs:47)","","",""
"bankfile-01-reversed-credit","bankfile","b941e1de12c397390e6135899b714d261bc10c79","T-A","an objective oracle (arithmetic: opening balance plus entries must equal the closing balance the file states)","551 tests, 98% coverage (README.md:19)","No test caught it. (README.md:194) | Found by balance arithmetic, not by a test. (CHANGELOG.md:82) | 54 real statement files, copied verbatim from the test suite of (tests/fixtures/mt940/README.md:3)","The '54 real third-party MT940 files' figure is not at README.md:192-195 or CHANGELOG.md:80-82 as the plan's draft table implied; it is stated at tests/fixtures/mt940/README.md:3. Cited only at commits after 397f922; commit 8ba571f is never cited or linked, per the plan's instruction.","",""
"bankfile-02-spec-found-field-bug","bankfile","b941e1de12c397390e6135899b714d261bc10c79","T-A","the spec (DFUe-Abkommen Anlage 3 subfield table)","551 tests, 98% coverage (README.md:19)","59 transactions across 5 files (CHANGELOG.md:19)","","",""
"nameproof-01-six-wrong-answers","nameproof","ad315b2c7362ba96365fc563af9e0a4e18ee8127","T-C","the author's own subsequent read (the six failures were noticed by Dylan, not by any test)","Suite: 93 to **109**. (docs/AUDIT-2026-08-25.md:261)","Unit tests caught none of them and could not have. (README.md:717)","","",""
"nameproof-02-doctor-agrees","nameproof","ad315b2c7362ba96365fc563af9e0a4e18ee8127","T-A","the world (live search results checked against known real-world answers)","Suite: 93 to **109**. (docs/AUDIT-2026-08-25.md:261)","12 agreed, 0 disagreed, 0 could not run (README.md:708)","","",""
"dsh-internals-01-existence-only-validator","dsh-internals","3e686fad535cb2a8030e187ab08e8598fad384ef","T-B","Dylan's session, by hand","Result: 270 valid, 0 invalid. (METHOD.md:51)","The event vocabulary is 44 types, not 45. (METHOD.md:71)","","",""
