name,created_at,include,reason
ai-invoice-parser,2026-06-11T03:32:11Z,false,"no independent check: eval/results.json reports 95/95 fields and anomaly F1 1.0 on 9 self-generated synthetic invoices only; no real-world audit, human label or external oracle with numbers is committed anywhere in the repo."
ledgerloop,2026-06-14T04:40:45Z,false,"self-generated score only: commit 44f3174's message reports ""Live eval: 11/11""; no independent check is committed (the eval/ directory holds only the harness that produces the self-generated score, no field report, no results file scored against a real-world or human-labelled source)."
react-flow-auto-layout,2026-07-06T18:17:55Z,false,"unit tests only; no eval, field report or independent-check artifact of any kind found in the repository."
approvals-ui,2026-07-08T04:52:17Z,false,"unit tests only; no eval, field report or independent-check artifact of any kind found in the repository."
fintech-roast,2026-07-08T17:39:33Z,true,"self-generated: eval/RESULTS.md (recall 30/35, genuine-defect precision 53/53, adversarial pass refuted 0 of 53). independent: eval/FIELD-REPORT-2.md, a scoped audit of medusajs/medusa at a pinned commit (16 findings, 4 confirmed, 2 likely, 10 refuted), plus upstream medusajs/medusa#16012 labelled a bug and closed by a third-party PR #16097 merged 2026-07-22 (verified live via gh api). See cases.yaml."
config,2026-07-11T22:45:42Z,false,"shared ESLint/Prettier/TypeScript config package; unit tests only for its own custom lint rules, no self-generated benchmark and no independent check."
merigaud.com,2026-07-23T13:58:18Z,false,"unit tests only; no eval, field report or independent-check artifact of any kind found in the repository."
bankfile,2026-08-06T00:22:09Z,true,"self-generated: README.md (551 tests, 98% coverage, 18 documented bank deviations). independent: README.md and CHANGELOG.md, arithmetic balance check on the vendored real MT940 corpus (54 real statement files per tests/fixtures/mt940/README.md, copied from wolph/mt940's own test suite) found a reversed-credit bug no test caught; CHANGELOG.md records the SWIFT spec (DFUe Abkommen Anlage 3) found a ?31 field-mapping bug on 59 transactions across 5 files. Cited only at commits after 397f922 (the redaction commit); commit 8ba571f is never cited or linked. See cases.yaml and the T17 report for the upstream check on the one statement that commit touched."
dsh-internals,2026-08-19T02:47:30Z,true,"self-generated: METHOD.md (""270 valid, 0 invalid"" citations; the validator only checks the file exists and the cited line is in range, an existence-only check). independent: METHOD.md, 6 load-bearing claims re-derived by hand from the session, 3 corrections applied. See cases.yaml."
nameproof,2026-08-21T23:08:01Z,true,"self-generated: docs/AUDIT-2026-08-25.md (test suite 60 to 93 to 109 passing, none removed). independent: README.md `doctor` calibration against live search results, 12 of 12 agreed, and re-introducing each of the six shipped wrong answers into a scratch copy makes doctor catch it (three reinsertions shown, all CAUGHT). This is the one included repo where the independent check AGREES with the self-generated score rather than contradicting it (codebook M0). See cases.yaml."
dossier-preflight,2026-08-22T02:02:32Z,true,"self-generated: grid/results/resume.json (8 of 9 checks hold validation.recall 1.0 on the held-out seed; forbidden_value is the exception at 0.9965277777777778). independent: parasitic-ink-probe/FINDING.md (ink sensor false negatives 1.000, n=151) and grid/results/target_parasite.json (0 of 81 fired at 1% added ink). See cases.yaml."
trimwrit,2026-08-23T18:58:36Z,true,"self-generated: CHANGELOG.md (an injection run reported 32 of 32 resisted) and README.md (ablation 1.00/1.00 at n=3 per arm on the em-dash case). independent: the same CHANGELOG.md passage records every regex grader was dead during that run; CHANGELOG.md separately records the baseline arm was contaminated by the global CLAUDE.md (em-dash case read 1.00 with, 0.00 without, after the fix); README.md records the LLM judge failing 4 of 4 runs the mechanical grader passed. See cases.yaml."
blazonry,2026-08-25T18:48:04Z,true,"self-generated: README.md (59 tests, no network, all passing). independent: scripts/gate.mjs code comment records 13 of 14 marks Dylan rejected by hand still pass the `density` check and 12 of 14 pass `construction`, because the thresholds were inflated by wordmark contamination. See cases.yaml."
airlock,2026-08-28T21:49:34Z,true,"self-generated: eval/EVAL.md per-gate table, 100% status precision and recall across the 16-asset run (10 real archival ads plus 6 synthetic assets, not 16 synthetic assets as an earlier draft table said; corrected here). independent: eval/EVAL.md brand-naming accuracy on the 10 real spots (4 of 10 named, 6 of 10 wrong company), which the coarse BLOCK status hid. See cases.yaml."
perfect-recall-study,2026-09-25T13:01:29Z,false,"this study's own repository, not a candidate tool: created 2026-09-25, after the population was drawn for this census; holds no self-generated score or independent check of a system under test."
